Timestamp,Alpha,Beta,Theta,Delta
1700951988,-0.333099331,-0.157833019,-0.564849776,-0.162607936
1700951988,-0.276282833,-0.132756314,-0.404092506,-0.309275214
1700951988,-0.271399978,-0.146795508,-0.151011669,-0.082519776
1700951988,-0.306558326,-0.192262128,-0.013727589,-0.058408901
1700951988,-0.143522848,-0.292965467,-0.120981629,-0.292022263
1700951989,-0.076939508,-0.300742351,-0.260077214,-0.123419485
1700951989,-0.165249266,-0.231536298,-0.138218472,-0.016450356
1700951989,-0.162656414,-0.19130719,-0.103581159,-0.083424579
1700951989,-0.082854463,-0.196171662,-0.034589005,-0.038985247
1700951989,-0.054376162,-0.202341004,0.035225433,-0.103341677
1700951990,-0.034111848,-0.331544587,-0.004559177,-0.097843706
1700951990,-0.126924042,-0.39420198,-0.316437553,-0.208878882
1700951990,-0.272652541,-0.413169549,-0.450287361,-0.166379675
1700951990,-0.29896258,-0.327958313,-0.314191767,-0.060582731
1700951990,-0.195086724,-0.375207911,-0.218285656,-0.021321845
1700951991,-0.22770573,-0.412221074,-0.339219171,0.074392567
1700951991,-0.170997373,-0.351512875,-0.262899857,0.053766776
1700951991,-0.124186335,-0.35698709,-0.172019859,0.027646563
1700951991,-0.131861293,-0.430673693,-0.117092433,0.14085037
1700951991,-0.128266214,-0.36234589,-0.048648726,0.09388349
1700951992,-0.130287174,-0.294146614,-0.011820965,-0.314118961
1700951992,-0.144244728,-0.324666426,0.022152213,-0.304445694
1700951992,-0.299962396,-0.350248849,0.102795493,-0.143816468
1700951992,-0.434274447,-0.40309884,-0.056929089,0.039588423
1700951992,-0.201859441,-0.415247175,-0.213278524,0.001576369
1700951993,-0.298918639,-0.356097244,-0.103553636,0.120442331
1700951993,-0.40853121,-0.264235951,-0.082230797,0.055819443
1700951993,-0.163362087,-0.191057896,-0.08144076,0.173176743
1700951993,-0.162609054,-0.213753705,0.035776904,0.184771783
1700951993,-0.223896222,-0.229049087,-0.082294224,0.147485177
1700951994,-0.210399818,-0.180352428,-0.173755875,-0.223919977
1700951994,-0.13914612,-0.168743629,-0.156146678,-0.07627453
1700951994,-0.133115661,-0.07211229,-0.264278392,-0.27437066
1700951994,-0.137097149,-0.029223382,-0.400803077,-0.330667318
1700951994,-0.233818487,-0.045791662,-0.415658736,-0.459531939
1700951995,-0.147464297,-0.092386224,-0.166500562,-0.168119987
1700951995,-0.142574805,-0.14895493,0.007993629,-0.029698934
1700951995,-0.252499385,-0.19640965,-0.023810272,0.018383277
1700951995,-0.162811343,-0.276312886,-0.105910444,0.107766095
1700951995,-0.184138486,-0.260504979,-0.159716859,-0.017808559
1700951996,-0.370177827,-0.14598274,-0.197314952,-0.090565461
1700951996,-0.553902934,-0.171295325,-0.209893471,-0.331923161
1700951996,-0.611765774,-0.270603196,-0.082256199,-0.131501553
1700951996,-0.656780547,-0.337921451,-0.041415484,-0.177678225
1700951996,-0.443399256,-0.378485474,-0.171917503,-0.04454237
1700951997,-0.229800871,-0.418891619,-0.060225616,-0.131294258
1700951997,-0.1533902,-0.379192124,-0.116450144,-0.08904236
1700951997,-0.197898829,-0.338967269,-0.081762087,0.049981464
1700951997,-0.184839426,-0.296281718,-0.007040677,-0.046739403
1700951997,-0.14567905,-0.244898515,0.071805713,-0.336949597
1700951997,0.066499322,-0.05673305,0.068295943,-0.229498162
1700951998,0.040066673,-0.015020778,-0.052467372,-0.125228218
1700951998,-0.087940919,-0.011465013,-0.319796255,-0.381654724
1700951998,-0.152912773,-0.019050614,-0.119991567,-0.456399625
1700951998,-0.000298601,-0.106471275,-0.080402479,-0.382456278
1700951999,0.005840464,-0.094877147,-0.095990724,-0.129786213
1700951999,-0.162759702,-0.158870645,-0.166627421,-0.081012471
1700951999,-0.268349166,-0.219412445,-0.155042771,-0.019175147
1700951999,-0.236582285,-0.217286938,-0.071788631,-0.011194406
1700951999,-0.180045368,-0.188947022,-0.0172216,-0.092633531
1700952000,-0.193677541,-0.175249743,-0.074148475,0.011339589
1700952000,-0.119998835,-0.195903001,0.015798094,-0.072423847
1700952000,-0.127106552,-0.184891123,0.032827274,-0.14390287
1700952000,-0.543876893,-0.158908928,-0.051825752,-0.577932472
1700952000,-0.593919125,-0.126677348,0.005576938,-0.158841955
1700952000,-0.301427148,-0.056066744,0.02382256,-0.27478744
1700952001,-0.245525405,0.050419176,-0.060062479,-0.065952104
1700952001,-0.324106459,0.021462332,-0.089865242,-0.236445876
1700952001,-0.551274265,-0.12745406,-0.04301798,-0.420888289
1700952001,-0.554493101,-0.144291934,-0.083523687,-0.436813864
1700952001,-0.455236573,-0.129057427,-0.097494041,-0.322160925
1700952002,-0.342948404,-0.164799802,-0.144392207,-0.414121535
1700952002,-0.157410575,-0.144474219,-0.393541235,-0.1985593
1700952002,-0.024824881,-0.161577217,-0.323297763,-0.317242904
1700952002,0.063991423,-0.237380548,-0.040496928,-0.071412128
1700952003,-0.092520239,-0.264037083,0.051898387,-0.154589213
1700952003,-0.496818398,-0.218516623,0.081455574,0.115532
1700952003,-0.321533586,-0.087939162,-0.11536864,0.057747216
1700952003,-0.071210164,-0.031266991,-0.080871588,-0.063150424
1700952003,-0.025350222,-0.116070229,0.01275082,-0.064304847
1700952003,-0.047049929,-0.197164831,-0.03323562,-0.142171343
1700952004,0.007528951,-0.23744622,-0.061718624,-0.168084463
1700952004,-0.100185581,-0.175862271,0.066030668,-0.013021933
1700952004,-0.07350425,-0.209062731,0.026352466,-0.24794707
1700952004,-0.021223672,-0.196776508,-0.124584636,-0.508269872
1700952004,0.096740423,-0.236388762,-0.198050359,-0.091340826
1700952005,0.100499536,-0.243765113,-0.267782792,0.063081353
1700952005,-0.064429609,-0.231044014,-0.073171291,0.072214896
1700952005,-0.082084287,-0.173437106,0.028957581,-0.068460114
1700952005,-0.069277475,-0.121743629,-0.013683852,-0.199012093
1700952005,-0.165158969,-0.139554745,-0.001727408,-0.35726983
1700952006,-0.16475726,-0.092529434,-0.009336685,-0.498761487
1700952006,-0.132145613,-0.047313584,0.090406658,-0.464778071
1700952006,-0.047943692,-0.12841663,0.097545236,-0.048545181
1700952006,0.056596347,-0.165863678,-0.017077965,-0.046046127
1700952006,-0.024554641,-0.172792015,-0.221308758,-0.080982519
1700952007,-0.098619204,-0.192197492,-0.104073695,-0.065454261
1700952007,-0.222771221,-0.184873684,0.06839744,-0.097697308
1700952007,-0.263718324,-0.216758501,0.138192439,-0.193750386
1700952007,-0.176646655,-0.254003203,0.036229677,-0.265775384
1700952007,-0.183548472,-0.210889601,-0.230432723,-0.192910725
1700952008,-0.241853634,-0.172184263,-0.270710055,-0.305812506
1700952008,-0.28561114,-0.10277482,-0.066266447,-0.249873732
1700952008,-0.088845466,-0.07132534,-0.118039437,-0.243453658
1700952008,-0.102135556,-0.087235766,-0.240488773,-0.299128955
1700952008,-0.15199925,-0.093076682,-0.197141512,-0.289713369
1700952009,-0.04856183,-0.164616331,-0.28945324,-0.176341019
1700952009,-0.025574075,-0.277066099,-0.055290595,-0.207122718
1700952009,-0.233161137,-0.172933441,0.010127706,0.001762452
1700952009,-0.404370022,-0.105289231,0.000264455,-0.110167334
1700952009,-0.072227957,-0.154617277,-0.143240275,-0.22340193
1700952010,0.002411963,-0.140980938,-0.239486428,0.086227508
1700952010,-0.137164746,-0.105343334,0.08138833,0.048749175
1700952010,-0.271338953,-0.074985108,0.191484297,0.107921035
1700952010,-0.151808712,0.084931139,0.027722297,0.213392228
1700952010,-0.20777986,0.136258739,-0.419020931,-0.019595542
1700952011,-0.151074773,0.049054708,-0.623980998,0.088924875
1700952011,-0.091564175,-0.009811983,-0.192807586,0.026086516
1700952011,-0.190293771,-0.115265576,-0.045917413,0.042256662
1700952011,-0.235945922,-0.215755294,-0.115494486,-0.259111398
1700952011,-0.21514684,-0.273470304,-0.245018861,-0.028287909
1700952012,-0.299820557,-0.157863411,-0.200313721,0.164219881
1700952012,-0.256501789,-0.120324147,-0.280089551,0.177173098
1700952012,-0.058838932,-0.208536658,-0.240494939,0.062597302
1700952012,-0.106397477,-0.180584928,-0.089644227,-0.194933465
1700952012,-0.462998217,-0.194335636,0.060689939,0.121511369
1700952013,-0.552533628,-0.38456195,0.120892279,0.070519158
1700952013,-0.357051881,-0.448452706,0.090736426,-0.119847377
1700952013,-0.306053027,-0.293447142,-0.116884114,-0.220735619
1700952013,-0.354857289,-0.063617653,-0.144179512,-0.169997019
1700952013,-0.222034262,0.002035089,-0.178897963,0.082564282
1700952014,-0.048092217,-0.041346044,-0.251488752,0.207799462
1700952014,-0.13271297,-0.032698628,-0.221648194,-0.003129485
1700952014,-0.27483328,-0.064678326,-0.280360448,0.062877319
1700952014,-0.215622543,-0.083009274,-0.257630676,-0.069645882
1700952014,-0.141012748,-0.194027721,-0.189293893,0.139892188
1700952015,-0.063378041,-0.220336655,-0.129618755,-0.049961731
1700952015,0.097201915,-0.13862216,-0.085316457,0.008878424
